epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,59.088,0.32232,8.87437,0.45884,0.27049,0.96854,0.99494,1,0.995,0.93942,0,0,0,0,0.48251,10.329,0.72245,0.28143,0.76138,0.0005744,0.0005744,0.0005744
74,59.9062,0.33896,9.62605,0.44383,0.27415,0.93124,0.99486,1,0.995,0.95083,0,0,0,0,0.49183,10.1565,0.72169,0.32449,0.76025,0.0005546,0.0005546,0.0005546
75,60.6846,0.35857,9.3736,0.47721,0.31195,0.95119,0.99486,1,0.995,0.95083,0,0,0,0,0.49183,10.1565,0.72169,0.32449,0.76025,0.0005348,0.0005348,0.0005348
76,61.4927,0.33919,9.4315,0.46017,0.27875,0.93924,0.99491,1,0.995,0.95093,0,0,0,0,0.48532,10.1697,0.71755,0.31962,0.75732,0.000515,0.000515,0.000515
77,62.2703,0.36954,9.23605,0.43589,0.29674,0.93407,0.99491,1,0.995,0.95093,0,0,0,0,0.48532,10.1697,0.71755,0.31962,0.75732,0.0004952,0.0004952,0.0004952
78,63.0984,0.37029,9.72829,0.51288,0.2983,0.90857,0.99491,1,0.995,0.97064,0,0,0,0,0.45546,10.0493,0.72493,0.31177,0.76579,0.0004754,0.0004754,0.0004754
79,63.9661,0.32993,9.49422,0.46754,0.28488,0.92986,0.99491,1,0.995,0.97064,0,0,0,0,0.45546,10.0493,0.72493,0.31177,0.76579,0.0004556,0.0004556,0.0004556
80,64.8532,0.36642,9.30405,0.51604,0.32732,0.95852,0.99489,1,0.995,0.96065,0,0,0,0,0.45975,10.0225,0.72503,0.30409,0.77964,0.0004358,0.0004358,0.0004358
81,65.6456,0.31001,9.61429,0.45858,0.27319,0.91965,0.99489,1,0.995,0.96065,0,0,0,0,0.45975,10.0225,0.72503,0.30409,0.77964,0.000416,0.000416,0.000416
82,66.4806,0.30403,9.12047,0.45708,0.25414,0.90742,1,1,0.995,0.94275,0,0,0,0,0.48064,9.95463,0.72771,0.31695,0.79141,0.0003962,0.0003962,0.0003962
83,67.3013,0.29523,9.22701,0.49224,0.26151,0.93394,1,1,0.995,0.94275,0,0,0,0,0.48064,9.95463,0.72771,0.31695,0.79141,0.0003764,0.0003764,0.0003764
84,68.1172,0.29702,9.4148,0.47361,0.27673,0.9236,1,1,0.995,0.93775,0,0,0,0,0.46315,9.95829,0.72271,0.29738,0.78928,0.0003566,0.0003566,0.0003566
85,68.8972,0.30215,9.00572,0.47827,0.2546,0.91634,1,1,0.995,0.93775,0,0,0,0,0.46315,9.95829,0.72271,0.29738,0.78928,0.0003368,0.0003368,0.0003368
86,69.7344,0.29038,9.27767,0.45179,0.25535,0.9282,1,1,0.995,0.93775,0,0,0,0,0.45663,9.99919,0.71806,0.27912,0.78398,0.000317,0.000317,0.000317
87,70.5231,0.2733,9.02604,0.47518,0.26264,0.92571,1,1,0.995,0.93775,0,0,0,0,0.45663,9.99919,0.71806,0.27912,0.78398,0.0002972,0.0002972,0.0002972
88,71.3491,0.27788,8.86606,0.4833,0.24056,0.92917,1,1,0.995,0.933,0,0,0,0,0.48132,9.94765,0.71792,0.29146,0.77811,0.0002774,0.0002774,0.0002774
89,72.1327,0.32296,9.20578,0.45219,0.24763,0.94807,1,1,0.995,0.933,0,0,0,0,0.48132,9.94765,0.71792,0.29146,0.77811,0.0002576,0.0002576,0.0002576
90,72.9448,0.28197,8.93604,0.44141,0.27956,0.9537,1,1,0.995,0.933,0,0,0,0,0.50083,9.87972,0.72155,0.30412,0.77398,0.0002378,0.0002378,0.0002378
91,74.0568,0.35405,8.82389,0.5056,0.76907,0.96956,1,1,0.995,0.933,0,0,0,0,0.50083,9.87972,0.72155,0.30412,0.77398,0.000218,0.000218,0.000218
92,74.9212,0.35686,8.83279,0.52518,0.89584,1.01134,1,1,0.995,0.94747,0,0,0,0,0.5174,9.94705,0.71999,0.31183,0.77162,0.0001982,0.0001982,0.0001982
93,75.7045,0.26871,8.70423,0.51809,0.32219,0.92783,1,1,0.995,0.94747,0,0,0,0,0.5174,9.94705,0.71999,0.31183,0.77162,0.0001784,0.0001784,0.0001784
94,76.5201,0.27499,8.87438,0.5136,0.25562,0.97341,1,1,0.995,0.94797,0,0,0,0,0.51839,10.0097,0.71127,0.31727,0.7606,0.0001586,0.0001586,0.0001586
95,77.3145,0.25554,8.76931,0.53622,0.23548,0.92166,1,1,0.995,0.94797,0,0,0,0,0.51839,10.0097,0.71127,0.31727,0.7606,0.0001388,0.0001388,0.0001388
96,78.1216,0.25661,8.71576,0.53087,0.26357,0.86824,0.9951,1,0.995,0.94445,0,0,0,0,0.50949,9.982,0.71322,0.32509,0.75664,0.000119,0.000119,0.000119
97,78.9034,0.24062,8.42839,0.57037,0.2226,0.90141,0.9951,1,0.995,0.94445,0,0,0,0,0.50949,9.982,0.71322,0.32509,0.75664,9.92e-05,9.92e-05,9.92e-05
98,79.7168,0.25713,8.32935,0.56077,0.24213,0.91829,0.99508,1,0.995,0.9429,0,0,0,0,0.49628,9.91657,0.71557,0.32694,0.75229,7.94e-05,7.94e-05,7.94e-05
99,80.5038,0.22337,8.42696,0.5276,0.19977,0.96192,0.99508,1,0.995,0.9429,0,0,0,0,0.49628,9.91657,0.71557,0.32694,0.75229,5.96e-05,5.96e-05,5.96e-05
100,81.3222,0.25639,8.62101,0.54642,0.2121,0.91841,0.99508,1,0.995,0.9425,0,0,0,0,0.4864,9.88605,0.71161,0.31857,0.75205,3.98e-05,3.98e-05,3.98e-05
